2019-11-06 15:30:33,31.07,61.41,0.00,241.60,0.00,0.00
2019-11-06 15:32:36,29.68,63.83,0.00,241.42,0.00,0.00
2019-11-06 15:34:08,29.59,64.98,14.40,239.15,5.87,3254.23
2019-11-06 15:34:48,29.46,66.23,14.40,239.16,5.88,3250.75
2019-11-06 15:35:08,29.44,65.65,13.50,239.23,5.87,3252.95
2019-11-06 15:39:35,29.90,62.37,0.00,239.20,0.00,0.00
2019-11-06 15:49:45,28.84,68.18,0.00,241.14,0.00,0.00
2019-11-06 15:59:55,28.62,70.54,0.00,240.32,0.00,0.00
2019-11-06 16:10:06,28.60,72.63,0.00,241.70,0.00,0.00
2019-11-06 16:20:16,28.59,74.39,0.00,240.73,0.00,0.00
2019-11-06 16:50:47,28.57,76.46,0.00,239.02,0.00,0.00
2019-11-06 17:00:50,29.14,72.75,0.00,238.26,0.00,0.00
2019-11-06 17:11:01,29.19,72.50,0.00,239.32,0.00,0.00
2019-11-06 17:21:11,29.02,74.53,0.00,238.06,0.00,0.00
2019-11-06 17:41:31,28.91,75.66,0.00,238.83,0.00,0.00
2019-11-06 17:51:41,28.91,75.77,0.00,238.14,0.00,0.00
2019-11-06 18:01:51,28.86,74.89,0.00,237.65,0.00,0.00
2019-11-06 18:12:01,28.85,74.24,0.00,237.48,0.00,0.00
2019-11-06 18:22:11,28.82,70.42,16.65,237.77,5.96,3346.85
2019-11-06 18:42:32,28.89,67.64,17.55,237.69,5.96,3347.75
2019-11-06 18:52:42,28.97,68.58,15.75,237.94,5.94,3340.90
2019-11-06 19:02:52,29.06,69.33,16.65,238.70,5.96,3349.22
2019-11-06 19:23:12,29.16,69.50,16.20,239.24,5.96,3348.55
2019-11-06 19:53:42,29.17,68.15,16.65,241.26,5.98,3354.00
2019-11-06 20:03:52,29.19,67.84,17.55,241.26,5.99,3360.32
2019-11-06 20:24:13,29.22,68.04,16.20,233.15,5.90,3322.98
2019-11-06 21:04:50,29.21,67.70,16.20,236.28,5.91,3329.50
2019-11-06 21:15:01,29.21,68.09,16.20,235.17,5.91,3305.68
2019-11-06 21:25:11,29.21,67.93,16.20,236.07,5.93,3346.28
2019-11-06 21:45:31,29.18,68.86,9.90,233.17,5.92,3324.05
2019-11-06 22:15:58,29.68,75.30,9.00,233.48,5.95,3335.46
2019-11-06 23:06:48,30.03,75.07,0.00,243.71,5.49,2991.45
2019-11-06 23:47:26,29.44,73.20,0.00,244.44,5.62,3025.21
2019-11-06 23:57:36,29.33,76.58,0.00,244.44,0.00,0.00
2019-11-07 00:07:46,29.23,77.61,0.00,244.44,0.00,0.00
2019-11-07 00:17:56,29.12,78.22,0.00,243.30,0.00,0.00
2019-11-07 00:48:26,28.83,78.44,0.00,242.71,0.00,0.00
2019-11-07 01:08:44,28.67,78.67,0.00,244.21,0.00,0.00
2019-11-07 01:18:54,28.57,78.25,0.00,243.88,0.00,0.00
2019-11-07 01:39:15,28.44,78.58,0.00,244.15,0.00,0.00
2019-11-07 01:59:33,28.28,78.78,0.00,244.15,0.00,0.00
2019-11-07 02:09:43,28.21,79.23,0.00,244.15,0.00,0.00
2019-11-07 02:19:53,28.18,79.37,0.00,244.92,0.00,0.00
2019-11-07 03:00:31,27.95,79.77,0.00,244.95,0.00,0.00
2019-11-07 03:31:01,27.80,79.75,0.00,245.13,0.00,0.00
2019-11-07 03:41:11,27.74,79.68,0.00,244.64,0.00,0.00
2019-11-07 04:01:28,27.65,79.66,0.00,243.96,0.00,0.00
2019-11-07 04:11:39,27.59,79.44,0.00,244.65,0.00,0.00
2019-11-07 04:32:02,27.51,79.09,0.00,243.36,0.00,0.00
2019-11-07 04:42:12,27.46,78.93,0.00,243.36,0.00,0.00
2019-11-07 04:52:22,27.41,78.82,0.00,241.76,0.00,0.00
2019-11-07 05:02:32,27.36,78.75,0.00,240.88,0.00,0.00
2019-11-07 05:12:40,27.31,78.64,0.00,241.30,0.00,0.00
2019-11-07 05:22:51,27.28,78.56,0.00,240.23,0.00,0.00
2019-11-07 05:43:10,27.19,78.24,0.00,237.98,0.00,0.00
